Wort;mentions_word;Bereich;SearchCluster;Notes;Region
bolivi;263;Außenpolitik;Außenbeziehung;Land/Region;Bolivien
kriegsf;263;Außenpolitik;Sicherheit;;
heizkost;263;Außenpolitik;Umwelt/Natur/Klima;Energie;
kuban;262;Außenpolitik;Außenbeziehung;Land/Region;Kuba
stromkund;262;Außenpolitik;Umwelt/Natur/Klima;Energie;
zuwanderungsgesetz;262;Außenpolitik;Migration;;
erinnerungskultur;262;Innenpolitik;;;
haiti;261;Außenpolitik;Außenbeziehung;Land/Region;Haiti
stahlindustri;261;Innenpolitik;;;
bundesdatenschutzgesetz;261;Innenpolitik;;;
tourismusbranch;261;Innenpolitik;;;
bahnreform;261;Innenpolitik;;;
asylsyst;260;Außenpolitik;Migration;;
windkraftanlag;260;Außenpolitik;Umwelt/Natur/Klima;Energie;
menschenfeind;259;Sonst.;;;
solarenergi;257;Außenpolitik;Umwelt/Natur/Klima;Energie;
dschihadist;257;Außenpolitik;Sicherheit;;
pflegebereich;256;Innenpolitik;;;
leiharbeitnehm;255;Innenpolitik;;;
energiewirtschaftsgesetz;255;Außenpolitik;Umwelt/Natur/Klima;Energie;
arbeitszeitgesetz;255;Innenpolitik;;;
lebenshaltungskost;254;Innenpolitik;;;
kreditwirtschaft;254;Innenpolitik;;;
palliativversorg;254;Innenpolitik;;;
uganda;253;Außenpolitik;Außenbeziehung;Land/Region;Uganda
energieeffizient;252;Außenpolitik;Umwelt/Natur/Klima;Energie;
strahlung;252;Außenpolitik;Umwelt/Natur/Klima;Energie;
kampfhandl;251;Außenpolitik;Sicherheit;;
ankara;250;Außenpolitik;Außenbeziehung;Land/Region;Türkei
agrar-;250;Innenpolitik;;;
maschinenbau;250;Innenpolitik;;;
epidem;250;Innenpolitik;;;
militarisier;250;Außenpolitik;Sicherheit;;
mobilfunk;248;Innenpolitik;;;
atlant;248;Außenpolitik;Außenbeziehung;;
ecuador;247;Außenpolitik;Außenbeziehung;Land/Region;Ecuador
